id,name,hind_name,wikipedia_links
234,Flattened Rice ,Poha,https://en.wikipedia.org/wiki/Flattened rice 
235,Yoghurt ,,https://en.wikipedia.org/wiki/Yoghurt 
236,Apple ,,https://en.wikipedia.org/wiki/Apple 
237,Celery ,,https://en.wikipedia.org/wiki/Celery 
238,Steel Oats ,, 
239,Apple Sauce ,,https://en.wikipedia.org/wiki/Apple sauce 
240,Buckwheat Flour ,Kuttu Or Kutti No Daro,https://en.wikipedia.org/wiki/Buckwheat flour 
241,Muskmelon ,,https://en.wikipedia.org/wiki/Muskmelon 
242,Raisins ,Kismis,https://en.wikipedia.org/wiki/Raisins 
243,Orange Squash ,,https://en.wikipedia.org/wiki/Orange squash 
244,Lemon Squash ,,https://en.wikipedia.org/wiki/Lemon squash 
245,Soda ,,https://en.wikipedia.org/wiki/Soda 
246,Brown Sugar ,,https://en.wikipedia.org/wiki/Brown sugar 
247,Sandesh ,,https://en.wikipedia.org/wiki/Sandesh 
248,Chickoo ,,https://en.wikipedia.org/wiki/Chickoo 
249,Crêpes ,, 
250,Wheat Bran ,,https://en.wikipedia.org/wiki/Wheat bran 
251,Cucumber ,,https://en.wikipedia.org/wiki/Cucumber 
252,Fruits ,,https://en.wikipedia.org/wiki/Fruits 
253,Strawberry ,,https://en.wikipedia.org/wiki/Strawberry 
254,Dragon Fruit ,,https://en.wikipedia.org/wiki/Dragon fruit 
255,Maple ,,https://en.wikipedia.org/wiki/Maple 
256,Rose Water ,,https://en.wikipedia.org/wiki/Rose water 
257,Rose Petals ,, 
258,Shortcrust Pastry ,,https://en.wikipedia.org/wiki/Shortcrust pastry 
259,Vanilla Cream ,, 
260,Currants ,,https://en.wikipedia.org/wiki/Currants 
261,Tea Bags ,,https://en.wikipedia.org/wiki/Tea bags 
262,Apricots ,Kummani / Jardalu,https://en.wikipedia.org/wiki/Apricots 
263,Custard ,,https://en.wikipedia.org/wiki/Custard 
264,Peaches ,,https://en.wikipedia.org/wiki/Peaches 
265,Apples Cored ,, 
266,Apricot Purée ,, 
267,Orange Drink ,,https://en.wikipedia.org/wiki/Orange drink 
268,Cherry Tomatoes ,,https://en.wikipedia.org/wiki/Cherry tomatoes 
269,Baharat ,,https://en.wikipedia.org/wiki/Baharat 
270,Colocassia ,Arbi, 
271,Palak Rotis ,, 
272,Sauce ,,https://en.wikipedia.org/wiki/Sauce 
273,Baguette ,,https://en.wikipedia.org/wiki/Baguette 
274,Pita ,,https://en.wikipedia.org/wiki/Pita 
275,Shallots ,Madras Onions,https://en.wikipedia.org/wiki/Shallots 
276,Dosa Batter ,, 
277,Pav Bhaji Masala ,, 
278,Schezuan Sauce ,, 
279,Sambhar ,,https://en.wikipedia.org/wiki/Sambhar 
280,Malaga Podi ,, 
281,Vegetables ,,https://en.wikipedia.org/wiki/Vegetables 
282,Pizza Sauce ,,https://en.wikipedia.org/wiki/Pizza sauce 
283,Carrots ,,https://en.wikipedia.org/wiki/Carrots 
284,Brinjal ,Baingan / Eggplant,https://en.wikipedia.org/wiki/Brinjal 
285,Cherry Tomato ,,https://en.wikipedia.org/wiki/Cherry tomato 
286,Sushi Rice ,,https://en.wikipedia.org/wiki/Sushi rice 
287,Rice Vinegar ,,https://en.wikipedia.org/wiki/Rice vinegar 
288,Seaweed Sushi ,Nori, 
289,Bamboo Mat ,, 
290,Toga Rashi ,, 
291,Cream Cheese ,,https://en.wikipedia.org/wiki/Cream cheese 
292,Wasabi Sauce ,, 
293,Pickled Sushi Ginger ,, 
294,Avocados ,,https://en.wikipedia.org/wiki/Avocados 
295,Riped Avocado ,, 
296,Chocolate Curls ,, 
297,Nacho ,,https://en.wikipedia.org/wiki/Nacho 
298,Grapefruit ,,https://en.wikipedia.org/wiki/Grapefruit 
299,Kale ,,https://en.wikipedia.org/wiki/Kale 
300,Babycorn ,, 
301,Pears ,,https://en.wikipedia.org/wiki/Pears 
302,Broccoli ,,https://en.wikipedia.org/wiki/Broccoli 
303,Herbs ,,https://en.wikipedia.org/wiki/Herbs 
304,Shell Pasta ,,https://en.wikipedia.org/wiki/Shell pasta 
305,Tahini ,,https://en.wikipedia.org/wiki/Tahini 
306,Breadsticks ,,https://en.wikipedia.org/wiki/Breadsticks 
307,Cake ,,https://en.wikipedia.org/wiki/Cake 
308,Rum ,,https://en.wikipedia.org/wiki/Rum 
309,Cherries ,,https://en.wikipedia.org/wiki/Cherries 
310,Mushrooms ,Khumbh,https://en.wikipedia.org/wiki/Mushrooms 
311,soya chunks ,Nuggets,https://en.wikipedia.org/wiki/Soya chunks 
312,Pizza Base ,, 
313,Bhavanagari Chillies ,, 
314,Baby Corns ,, 
315,Paneer ,,https://en.wikipedia.org/wiki/Paneer 
316,Baby Spinach ,,https://en.wikipedia.org/wiki/Baby spinach 
317,Pecans ,,https://en.wikipedia.org/wiki/Pecans 
318,Grain Mustard ,, 
319,Banana Leaf ,Kele Ka Patta,https://en.wikipedia.org/wiki/Banana leaf 
320,Coal ,,https://en.wikipedia.org/wiki/Coal 
321,Cow Milk ,,https://en.wikipedia.org/wiki/Cow milk 
322,Badam Barfi ,, 
323,Pista Barfi ,, 
324,Silver Leaf ,Vark,https://en.wikipedia.org/wiki/Silver leaf 
325,Kewda ,,https://en.wikipedia.org/wiki/Kewda 
