recipe_id,key,value,unit
108,Fiber,3.4,g
108,Fat,1.6,g
108,Cholesterol,0,mg
108,Sodium,5.8,mg
109,Energy,204,cal
109,Protein,5.3,g
109,Carbohydrates,23.9,g
109,Fiber,4.2,g
109,Fat,9.6,g
109,Cholesterol,1.2,mg
109,Sodium,16.6,mg
110,Energy,99,cal
110,Protein,2.8,g
110,Carbohydrates,13.1,g
110,Fiber,3.4,g
110,Fat,3.9,g
110,Cholesterol,0,mg
110,Sodium,10.3,mg
111,Energy,244,cal
111,Protein,6.7,g
111,Carbohydrates,27.2,g
111,Fiber,7.1,g
111,Fat,11.9,g
111,Cholesterol,1.2,mg
111,Sodium,14.7,mg
112,Energy,244,cal
112,Protein,6.7,g
112,Carbohydrates,27.2,g
112,Fiber,7.1,g
112,Fat,11.9,g
112,Cholesterol,1.2,mg
112,Sodium,14.7,mg
113,Energy,244,cal
113,Protein,6.7,g
113,Carbohydrates,27.2,g
113,Fiber,7.1,g
113,Fat,11.9,g
113,Cholesterol,1.2,mg
113,Sodium,14.7,mg
114,Energy,154,cal
114,Protein,3.7,g
114,Carbohydrates,17.5,g
114,Fiber,4.4,g
114,Fat,7.7,g
114,Cholesterol,0,mg
114,Sodium,12.5,mg
115,Energy,154,cal
115,Protein,3.7,g
115,Carbohydrates,17.5,g
115,Fiber,4.4,g
115,Fat,7.7,g
115,Cholesterol,0,mg
115,Sodium,12.5,mg
116,Energy,487,cal
116,Protein,12.8,g
116,Carbohydrates,52.9,g
116,Fiber,9.7,g
116,Fat,24.9,g
116,Cholesterol,0,mg
116,Sodium,48.1,mg
117,Energy,203,cal
117,Protein,2.5,g
117,Carbohydrates,13,g
117,Fiber,3,g
117,Fat,15.7,g
117,Cholesterol,0,mg
117,Sodium,58.5,mg
118,Energy,154,cal
118,Protein,1.9,g
118,Carbohydrates,10.1,g
118,Fiber,2.3,g
118,Fat,11.8,g
118,Cholesterol,0,mg
118,Vitamin A,3904.3,mcg
118,Vitamin B1,0.1,mg
118,Vitamin B2,0.2,mg
118,Vitamin B3,0.8,mg
118,Vitamin C,25.2,mg
118,Folic Acid,89.8,mcg
118,Calcium,53.2,mg
118,Iron,0.9,mg
118,Magnesium,0,mg
118,Phosphorus,0,mg
118,Sodium,44,mg
118,Potassium,229,mg
118,Zinc,0.4,mg
119,Energy,170,cal
119,Protein,4.5,g
119,Carbohydrates,22,g
119,Fiber,4,g
119,Fat,7.4,g
119,Cholesterol,0.8,mg
119,Sodium,14.5,mg
120,Energy,148,cal
120,Protein,4.5,g
120,Carbohydrates,22,g
120,Fiber,4,g
120,Fat,4.9,g
120,Cholesterol,0.8,mg
120,Sodium,14.5,mg
121,Energy,387,cal
121,Protein,9.7,g
121,Carbohydrates,16.9,g
121,Fiber,2.9,g
121,Fat,31.3,g
121,Cholesterol,0,mg
121,Sodium,109.8,mg
122,Energy,242,cal
122,Protein,9.1,g
122,Carbohydrates,20.9,g
122,Fiber,3,g
122,Fat,13.6,g
122,Cholesterol,0,mg
122,Sodium,8.3,mg
123,Energy,340,cal
123,Protein,10,g
123,Carbohydrates,24.8,g
123,Fiber,2.7,g
123,Fat,22.4,g
123,Cholesterol,0,mg
123,Sodium,11,mg
124,Energy,340,cal
124,Protein,10,g
124,Carbohydrates,24.8,g
124,Fiber,2.7,g
124,Fat,22.4,g
124,Cholesterol,0,mg
124,Sodium,11,mg
125,Energy,340,cal
125,Protein,10,g
125,Carbohydrates,24.8,g
125,Fiber,2.7,g
125,Fat,22.4,g
125,Cholesterol,0,mg
125,Sodium,11,mg
126,Energy,141,cal
126,Protein,2.3,g
126,Carbohydrates,16.5,g
126,Fiber,1.7,g
126,Fat,7.1,g
126,Cholesterol,1.2,mg
126,Sodium,13.6,mg
127,Energy,348,cal
127,Protein,1.5,g
127,Carbohydrates,20.8,g
127,Fiber,1.6,g
127,Fat,28.8,g
127,Cholesterol,0,mg
127,Sodium,10.1,mg
128,Energy,112,cal
128,Protein,1.5,g
128,Carbohydrates,20.8,g
128,Fiber,1.6,g
128,Fat,2.6,g
128,Cholesterol,0,mg
128,Sodium,10.1,mg
129,Energy,179,cal
129,Protein,1.5,g
129,Carbohydrates,20.8,g
129,Fiber,1.6,g
129,Fat,10.1,g
129,Cholesterol,0,mg
129,Sodium,10.1,mg
130,Energy,89,cal
130,Protein,1.4,g
130,Carbohydrates,12.4,g
130,Fiber,1.6,g
130,Fat,3.8,g
130,Cholesterol,0,mg
130,Vitamin A,78.4,mcg
130,Vitamin B1,0,mg
130,Vitamin B2,0,mg
